00 00 01 00 02 10 00 71 00 01 00 06 00 02 00 75 02 63 00 00 06 29 45 6A 
00 00 01 00 02 10 00 71 00 01 00 06 00 02 01 75 02 63 00 00 06 2A 3D 69 
00 00 01 00 03 10 00 71 00 01 00 06 00 03 00 75 03 63 00 00 06 2C 49 6C 
00 00 01 00 02 10 00 71 00 01 00 16 00 02 04 75 02 63 00 00 06 2D 40 68 
00 00 01 00 02 10 00 71 00 01 00 14 00 02 05 75 02 63 00 00 06 2E 46 6A 
00 00 01 00 06 10 00 71 00 01 00 1D 00 06 15 75 06 63 00 00 06 4A 46 6B 
00 00 01 00 02 10 00 71 00 01 00 10 00 02 21 75 02 63 00 00 06 4A 43 6B 
00 00 01 00 03 10 00 71 00 01 00 0E 00 03 1E 75 03 63 00 00 06 4A 48 6A 
00 00 01 00 05 10 00 71 00 01 00 14 00 05 18 75 05 63 00 00 06 4A 49 6B 
00 00 01 00 03 10 00 71 00 01 00 0E 00 03 1E 75 03 63 00 00 06 4A 48 6A 
00 00 01 00 03 10 00 71 00 02 00 0E 00 04 1B 75 04 63 00 00 06 4A 4B 6C 
00 00 01 00 02 10 00 71 00 01 00 0E 00 02 22 75 02 63 00 00 06 4B 48 6B 
00 00 01 00 03 10 00 71 00 01 00 0E 00 03 1F 75 03 63 00 00 06 4B 4B 6B 
00 00 01 00 03 10 00 71 00 02 00 0D 00 04 1C 75 04 63 00 00 06 4B 4B 6C 
00 00 01 00 05 10 00 71 00 01 00 14 00 05 19 75 05 63 00 00 06 4B 4A 6A 
00 00 01 00 06 10 00 71 00 01 00 1A 00 06 16 75 06 63 00 00 06 4B 46 6C 
00 00 01 00 06 10 00 71 00 01 00 1A 00 06 17 75 06 63 00 00 06 4C 43 6C 
00 00 01 00 02 10 00 71 00 01 00 0E 00 02 23 75 02 63 00 00 06 4C 46 6B 
00 00 01 00 05 10 00 71 00 01 00 14 00 05 1A 75 05 63 00 00 06 4C 3F 6A 
00 00 01 00 03 10 00 71 00 01 00 0D 00 03 20 75 03 63 00 00 06 4C 49 6B 
